,producto,fecha,pais,transporte,kg,tipo
53,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Países Bajos,Carretera,9907188.64,import
54,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Países Bajos,Carretera,7664291.73,import
55,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Países Bajos,Carretera,1552757.0,import
64,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Alemania,Marítimo,60010.0,import
65,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Alemania,Marítimo,220.0,import
66,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Alemania,Marítimo,235010.0,import
67,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Alemania,Marítimo,160090.0,import
68,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Alemania,Marítimo,120190.0,import
69,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Alemania,Marítimo,105270.0,import
71,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Alemania,Carretera,92449.0,import
72,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Alemania,Carretera,37394.4,import
73,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Alemania,Carretera,21061.05,import
74,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Alemania,Carretera,200563.7,import
75,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Alemania,Carretera,21170.2,import
76,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Alemania,Carretera,587.7,import
85,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Italia,Carretera,103.0,import
86,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Italia,Carretera,3877.0,import
87,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Italia,Carretera,352293.56,import
88,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Italia,Carretera,88775.0,import
89,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Italia,Carretera,30430.0,import
90,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Italia,Carretera,900.0,import
99,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Reino Unido,Marítimo,6395529.0,import
100,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Reino Unido,Marítimo,4809116.0,import
101,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Reino Unido,Marítimo,4204955.0,import
102,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Reino Unido,Marítimo,2045304.0,import
103,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-05-01 00:00:00, Reino Unido,Marítimo,124750.0,import
104,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-06-01 00:00:00, Reino Unido,Marítimo,50000.0,import
106,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-01-01 00:00:00, Reino Unido,Carretera,906232.1,import
107,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-02-01 00:00:00, Reino Unido,Carretera,923392.43,import
108,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-03-01 00:00:00, Reino Unido,Carretera,1179890.0,import
109,"0541 PATATAS, FRESCAS O REFRIGERADA",2016-04-01 00:00:00, Reino Unido,Carretera,963415.35,import
