,producto,fecha,pais,transporte,kg
44,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Francia, Carretera,63984721.55
45,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Francia, Carretera,73295159.12
46,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Francia, Carretera,62481630.07
47,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Francia, Carretera,52502775.29
48,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Francia, Carretera,24259560.47
57,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Países Bajos, Carretera,6783462.65
58,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Países Bajos, Carretera,4451589.9
59,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Países Bajos, Carretera,10871076.16
60,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Países Bajos, Carretera,6649119.43
61,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Países Bajos, Carretera,2582864.29
62,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Países Bajos, Carretera,1382000.0
71,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Alemania, Marítimo,160.0
72,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Alemania, Marítimo,180.0
73,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Alemania, Marítimo,62.0
74,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Alemania, Marítimo,330.0
75,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Alemania, Marítimo,360.0
76,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Alemania, Marítimo,210.0
78,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Alemania, Carretera,268245.0
79,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Alemania, Carretera,46748.0
80,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Alemania, Carretera,61254.0
81,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Alemania, Carretera,243059.0
82,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Alemania, Carretera,22454.32
83,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Alemania, Carretera,348947.33
92,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Italia, Carretera,2324.0
93,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Italia, Carretera,93154.0
94,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Italia, Carretera,222654.0
95,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Italia, Carretera,252227.0
96,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Italia, Carretera,16285.0
97,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Italia, Carretera,4863.0
106,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Reino Unido, Marítimo,5966268.0
107,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Reino Unido, Marítimo,6777896.0
108,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Reino Unido, Marítimo,5095255.0
109,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Reino Unido, Marítimo,1811724.0
110,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Reino Unido, Marítimo,1125195.0
111,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Reino Unido, Marítimo,300387.0
113,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Reino Unido, Carretera,509418.1
114,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Reino Unido, Carretera,836707.1
115,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Reino Unido, Carretera,1937867.1
116,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Reino Unido, Carretera,1636285.76
117,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Reino Unido, Carretera,905570.07
118,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Reino Unido, Carretera,90007.0
127,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Dinamarca, Marítimo,221651.0
128,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Dinamarca, Marítimo,301766.0
129,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Dinamarca, Marítimo,138318.0
